Month_Day,2023,2024,2025,2026,2027
01-01,337485.0000000006,686993.0,1284272.0000000002,1244317.0,1285111.9999999998
01-02,1030555.9999999999,1920106.0,985410.0,1499299.0000000002,805926.0000000001
01-03,1030555.9999999999,1598395.0,985410.0,1115398.0,1198180.0
01-04,697207.0000000001,1621244.0,110651.9999999993,213312.99999999965,2054214.9999999995
01-05,1464200.9999999995,148151.99999999988,985410.0,1020265.0,1198180.0
01-06,1841073.9999999993,384234.9999999999,59999.9999999993,18987.999999999534,1198180.0
01-07,1830586.9999999993,995967.0,1308975.0000000002,557749.9999999998,1198180.0
01-08,1159315.9999999998,665465.0,985410.0,1599498.0000000002,262227.00000000035
01-09,630753.0000000002,301685.9999999999,1073901.0,1941132.0000000005,782974.0000000001
01-10,1557072.9999999995,1906228.0,985410.0,1001102.0,2744038.999999999
01-11,1030555.9999999999,1969674.0,1564611.0000000005,1001102.0,1662262.9999999998
01-12,263069.0000000006,389310.9999999999,711529.9999999998,135142.99999999965,1467856.9999999998
01-13,1030555.9999999999,995967.0,1772869.0000000005,470993.99999999977,1198180.0
01-14,508842.0000000003,330846.9999999999,645835.9999999998,107925.99999999965,1198180.0
01-15,2354454.999999999,1319344.0,83478.99999999942,564196.9999999998,447559.00000000035
01-16,1030555.9999999999,661690.9999999999,985410.0,824858.9999999999,1483569.9999999998
01-17,1354445.9999999995,86606.99999999988,780434.9999999999,359375.99999999965,262993.00000000035
01-18,629733.0000000002,628160.0,985410.0,1282300.0,157045.00000000035
01-19,1577790.9999999995,1494600.0,603141.9999999998,1001102.0,1128200.0
01-20,142694.00000000047,995967.0,439938.99999999965,963493.0,1198180.0
01-21,1030555.9999999999,1474941.0,1952793.0000000005,158839.99999999953,2101003.9999999995
01-22,2527534.9999999986,1467823.0,192737.99999999953,185521.99999999965,1001912.0
01-23,1030555.9999999999,142513.0,1061872.0,1548146.0000000002,1129780.0
01-24,1030555.9999999999,27318.999999999884,227080.99999999953,413232.99999999977,143641.00000000023
01-25,1030555.9999999999,1222646.0,985410.0,319127.99999999965,1145817.0
01-26,1104337.9999999998,1206472.0,985410.0,1001102.0,1159382.0
01-27,954905.9999999999,995967.0,784543.9999999999,492285.99999999977,185400.00000000023
01-28,1015525.9999999999,825453.0,2632286.000000001,396485.99999999965,1198180.0
01-29,942715.9999999999,1847598.0,945094.0,1962881.0000000005,153826.00000000035
01-30,784595.0,150400.99999999988,87875.99999999942,493015.99999999977,1643479.9999999995
01-31,1030555.9999999999,995967.0,906574.0,1001102.0,1198180.0
02-01,789490.0,1906464.0,985410.0,991597.0,1425001.9999999998
02-02,1425028.9999999995,52270.0,159550.9999999993,54259.999999999534,1741414.9999999995
02-03,1496303.9999999995,995967.0,507430.9999999998,1001102.0,1198180.0
02-04,1411178.9999999995,1249785.0,985410.0,1001102.0,1198180.0
02-05,1030555.9999999999,995967.0,985410.0,158588.99999999953,438234.00000000023
02-06,329730.0000000006,995967.0,2572838.0000000014,2331196.000000001,1198180.0
02-07,688557.0000000001,1476566.0,934975.0,977010.0,1843369.9999999995
02-08,1030555.9999999999,995967.0,985410.0,1101291.0,116126.00000000023
02-09,1030555.9999999999,312547.9999999999,1268497.0000000002,1001102.0,2471657.999999999
02-10,1088731.9999999998,822724.0,1362825.0000000005,1018816.0,478275.00000000035
02-11,601293.0000000002,132418.99999999988,314980.99999999965,1429343.0000000002,1362633.9999999998
02-12,460360.00000000035,692093.0,985410.0,900457.0,726187.0000000001
02-13,2398349.999999999,2191269.0,198296.99999999953,211761.99999999953,155059.00000000035
02-14,1030555.9999999999,303586.9999999999,1049381.0,1001102.0,1198180.0
02-15,1030555.9999999999,995967.0,985410.0,2408771.000000001,1652442.9999999995
02-16,1093938.9999999998,2517677.0,1070399.0,1001102.0,1949753.9999999995
02-17,740732.0000000001,995967.0,1500949.0000000005,522481.99999999977,1013301.0
02-18,523076.0000000004,382617.9999999999,985410.0,1252606.0000000002,1198180.0
02-19,1489901.9999999995,3008623.0,1716966.0000000007,1001102.0,1198180.0
02-20,1030555.9999999999,950731.0,985410.0,27738.999999999534,837028.0000000001
02-21,1030555.9999999999,995967.0,796523.9999999999,2229961.000000001,243382.00000000035
02-22,101205.00000000058,1678316.0,108479.9999999993,1001102.0,2049522.9999999995
02-23,1099767.9999999998,995967.0,985410.0,1484415.0000000002,858533.0
02-24,2467015.9999999986,995967.0,470642.99999999965,1001102.0,1128715.0
02-25,168321.00000000058,239981.99999999988,3137760.000000002,2253089.000000001,3460001.999999999
02-26,462624.00000000035,1528091.0,985410.0,49364.99999999965,150400.00000000035
02-27,1030555.9999999999,2832122.0,80499.99999999942,63439.999999999534,1931644.9999999995
02-28,2634969.9999999986,174907.99999999988,1287027.0000000002,1530044.0000000002,1198180.0
03-01,1568863.9999999995,29999.999999999884,908411.0,1710320.0000000005,416566.00000000023
03-02,325350.00000000047,184673.99999999988,1692063.0000000007,2318550.000000001,1198180.0
03-03,1030555.9999999999,995967.0,1861632.0000000005,1716547.0000000005,2518351.999999999
03-04,851189.0,244132.99999999988,985410.0,1001102.0,1198180.0
03-05,1030555.9999999999,1455546.0,985410.0,516743.99999999977,1198180.0
03-06,1030555.9999999999,436209.9999999999,985410.0,1001102.0,1307533.9999999998
03-07,2081764.9999999988,2330899.0,116657.99999999942,717981.9999999999,1675219.9999999995
03-08,1030555.9999999999,717189.0,985410.0,951038.0,2272943.999999999
03-09,1305557.9999999995,1255571.0,985410.0,864154.0,392653.00000000035
03-10,163942.00000000058,995967.0,1643753.0000000005,293123.99999999953,2669378.999999999
03-11,115145.00000000058,469898.99999999977,985410.0,587200.9999999998,1771863.9999999995
03-12,510561.00000000035,3456441.0,985410.0,494436.99999999977,65685.00000000023
03-13,2196312.999999999,350223.9999999999,1229715.0000000002,40682.99999999965,135781.00000000023
03-14,1030555.9999999999,67000.0,985410.0,751292.9999999999,1198180.0
03-15,1030555.9999999999,1200668.0,1193342.0000000002,1564704.0000000002,1198180.0
03-16,1602160.9999999995,995967.0,830256.0,1001102.0,1198180.0
03-17,1030555.9999999999,76549.99999999988,2627578.000000001,25191.999999999534,4020097.999999999
03-18,1030555.9999999999,1727729.0,155806.99999999942,259050.99999999965,1198180.0
03-19,1687424.9999999995,2451760.0,32519.999999999418,1001102.0,3059972.999999999
03-20,1655415.9999999995,1080785.0,985410.0,1690959.0000000005,179050.00000000035
03-21,528260.0000000003,995967.0,2705552.0000000014,1001102.0,696148.0000000001
03-22,162628.00000000058,1498038.0,985410.0,2188064.0000000005,1198180.0
03-23,1619253.9999999995,1031149.0,794276.9999999999,1001102.0,814368.0
03-24,1005078.9999999999,104250.0,985410.0,1971625.0000000005,1198180.0
03-25,598436.0000000002,515080.9999999999,1526106.0000000005,1729813.0000000005,1198180.0
03-26,158036.0000000007,2629049.0,1260144.0000000002,682274.9999999998,1198180.0
03-27,2837338.999999998,39925.0,723122.9999999998,199287.99999999953,3101866.999999999
03-28,253320.00000000058,2326837.0,985410.0,269972.99999999965,1734928.9999999995
03-29,1030555.9999999999,1520655.0,985410.0,1275836.0,1124245.0
03-30,2553775.9999999986,674306.0,12478.999999999302,944108.0,1198180.0
03-31,236370.00000000058,995967.0,109449.99999999942,1001102.0,1045272.0
04-01,1030555.9999999999,1092037.0,985410.0,1622925.0000000005,1198180.0
04-02,711520.0000000001,1838186.0,13757.999999999418,516782.99999999977,1372253.9999999998
04-03,349977.00000000035,1833010.0,1449469.0000000005,3009.9999999995343,1482299.9999999998
04-04,1030555.9999999999,995967.0,505889.99999999977,2721668.000000001,1198180.0
04-05,1281032.9999999995,31072.0,2967374.000000002,549965.9999999998,160327.00000000023
04-06,1330726.9999999995,2197125.0,985410.0,1001102.0,2018613.9999999995
04-07,189976.00000000047,497447.9999999999,1800417.0000000005,1683542.0000000005,1198180.0
04-08,276556.0000000006,995967.0,104169.9999999993,1001102.0,1192210.0
04-09,86779.0000000007,185405.99999999988,207913.99999999953,328893.99999999965,1949805.9999999995
04-10,45650.0000000007,1594842.0,985410.0,917857.0,570090.0000000001
04-11,1491766.9999999995,788430.0,991468.0,1391931.0000000002,1198180.0
04-12,2331419.9999999986,143531.0,985410.0,205530.99999999965,615044.0000000001
04-13,1339064.9999999995,995967.0,1278310.0000000002,814507.9999999999,1198180.0
04-14,1030555.9999999999,995967.0,384606.99999999965,1001102.0,1519451.9999999998
04-15,231700.00000000047,254729.99999999988,985410.0,687976.9999999998,1198180.0
04-16,1426415.9999999995,2638605.0,1258045.0000000002,257373.99999999965,2634164.999999999
04-17,827492.0,100604.0,985410.0,19159.99999999965,283743.00000000035
04-18,204610.00000000047,995967.0,1351086.0000000002,577930.9999999998,163541.00000000023
04-19,37276.000000000815,1167496.0,985410.0,1001102.0,3491294.999999999
04-20,1849480.9999999993,616065.9999999999,1006134.0000000001,1139429.0,1401884.9999999998
04-21,1030555.9999999999,65999.99999999988,328830.99999999965,2110869.0000000005,1050181.0
04-22,683531.0000000001,405198.9999999999,44366.9999999993,550224.9999999998,1198180.0
04-23,1677625.9999999995,1434860.0,985410.0,681432.9999999998,221970.00000000023
04-24,879540.0,690751.0,985410.0,282934.99999999965,1267285.9999999998
04-25,18000.0000000007,445392.9999999999,985410.0,1001102.0,1198180.0
04-26,1030555.9999999999,1034416.0,3791522.000000003,1303232.0000000002,539478.0000000002
04-27,425729.00000000035,995967.0,807484.9999999999,1219717.0,477336.00000000035
04-28,353346.00000000047,995967.0,985410.0,292516.99999999965,843429.0
04-29,1492434.9999999995,1970252.0,2068891.000000001,1001102.0,1527270.9999999998
04-30,1794151.999999999,2101064.0,985410.0,1238210.0,1037837.0
05-01,986363.9999999999,995967.0,985410.0,1001102.0,66795.00000000047
05-02,1030555.9999999999,1015588.0,2110999.000000001,1001102.0,2361154.999999999
05-03,893405.0,1277713.0,1300098.0000000002,1001102.0,2183112.999999999
05-04,1030555.9999999999,2828337.0,985410.0,228620.99999999953,1811579.9999999995
05-05,101725.00000000058,391164.9999999999,2064058.000000001,1001102.0,608008.0000000001
05-06,1165062.9999999998,1031023.0,2700232.000000001,1250466.0000000002,762558.0000000001
05-07,1030555.9999999999,533203.0,102835.99999999942,332752.99999999953,1198180.0
05-08,446726.00000000035,1389275.0,1504014.0000000005,15875.999999999534,250165.00000000023
05-09,1226064.9999999998,2524884.0,236002.99999999953,2124476.000000001,1198180.0
05-10,556401.0000000002,995967.0,139569.9999999993,2700007.000000001,2708485.999999999
05-11,1679490.9999999995,1805895.0,991281.0,346949.99999999965,1198180.0
05-12,344526.00000000047,995967.0,1783359.0000000005,1001102.0,501138.00000000023
05-13,1030555.9999999999,1205260.0,985410.0,1001102.0,1198180.0
05-14,1635510.9999999995,1689095.0,985410.0,1103407.0,100686.00000000023
05-15,1457845.9999999995,72451.99999999988,79999.99999999942,1001102.0,2582502.999999999
05-16,1030555.9999999999,15000.0,1536693.0000000005,2389491.000000001,1710924.9999999995
05-17,1030555.9999999999,424324.9999999999,985410.0,1001102.0,1198180.0
05-18,618354.0000000002,1035713.0,1618502.0000000005,1001102.0,335345.00000000035
05-19,1724854.9999999993,995967.0,1700775.0000000007,980163.0,1198180.0
05-20,32977.0000000007,1269085.0,985410.0,502781.9999999997,1172228.0
05-21,1152977.9999999998,1797842.0,766115.9999999999,797310.9999999999,329540.00000000023
05-22,1569984.9999999995,324856.9999999999,1932343.0000000007,1001102.0,2225041.999999999
05-23,224529.00000000058,995967.0,985410.0,160462.99999999953,641067.0000000001
05-24,1030555.9999999999,2000530.0,985410.0,1709501.0000000005,328220.00000000023
05-25,1030555.9999999999,47878.0,1354063.0000000002,410374.99999999977,273731.00000000035
05-26,2481188.9999999986,995967.0,1144446.0000000002,1001102.0,179127.00000000035
05-27,2591525.999999998,1505501.0,985410.0,1001102.0,1730230.9999999995
05-28,1030555.9999999999,1827491.0,318614.99999999965,1636455.0000000005,1198180.0
05-29,1030555.9999999999,860585.0,985410.0,2204343.000000001,1198180.0
05-30,1286323.9999999995,995967.0,153875.9999999993,1305059.0000000002,5734110.999999998
05-31,421774.00000000035,1792161.0,1343077.0000000002,1001102.0,816859.0
06-01,703570.0000000001,995967.0,908810.0,558129.9999999998,1198180.0
06-02,2787359.999999998,53876.99999999988,101999.9999999993,678088.9999999998,1198180.0
06-03,2401071.9999999986,995967.0,924133.0,649069.9999999998,1198180.0
06-04,1627906.9999999995,43000.0,233916.99999999953,880693.0,732844.0000000001
06-05,1030555.9999999999,145803.0,1311267.0000000002,1795806.0000000005,1474451.9999999998
06-06,534235.0000000003,397893.9999999999,807513.9999999999,611209.9999999998,666718.0000000001
06-07,1360306.9999999995,10373.999999999884,328429.99999999965,1213845.0,1198180.0
06-08,3598010.999999998,1593326.0,928276.0,1001102.0,2919145.999999999
06-09,1030555.9999999999,826587.0,985410.0,445758.99999999977,1198180.0
06-10,806997.0,33113.0,1239409.0000000002,224682.99999999965,2610858.999999999
06-11,1590812.9999999995,105503.99999999988,985410.0,196782.99999999965,1060373.0
06-12,4835.000000000815,916661.0,174262.99999999942,1470461.0000000002,33434.00000000023
06-13,825046.0,995967.0,1735664.0000000007,1001102.0,1198180.0
06-14,1030555.9999999999,482811.9999999998,985410.0,534094.9999999998,2993595.999999999
06-15,1280015.9999999995,1730771.0,1899715.0000000005,911277.0,816956.0000000001
06-16,154873.00000000058,995967.0,985410.0,432766.99999999977,102566.00000000023
06-17,1030555.9999999999,262390.9999999999,37939.99999999942,1062607.0,371839.00000000035
06-18,376422.00000000035,2339132.0,2215330.000000001,1309072.0000000002,277098.00000000035
06-19,2258136.999999999,86987.99999999988,985410.0,1001102.0,1198180.0
06-20,206230.00000000058,1123371.0,985410.0,1330509.0000000002,2908699.999999999
06-21,1030555.9999999999,525423.9999999999,106261.99999999942,1461574.0000000002,475899.00000000023
06-22,1587241.9999999995,995967.0,1144069.0000000002,1103883.0,583735.0000000001
06-23,138000.00000000047,995967.0,2170126.000000001,1367994.0000000002,2111540.9999999995
06-24,672380.0000000001,1915380.0,625378.9999999998,156024.99999999965,1946629.9999999995
06-25,580927.0000000002,2079863.0000000002,985410.0,390297.99999999965,1198180.0
06-26,1522913.9999999995,254016.99999999988,985410.0,1001102.0,2068513.9999999995
06-27,354151.00000000047,668399.9999999999,338815.99999999965,794998.9999999999,1198180.0
06-28,729882.0,2358632.0,985410.0,1001102.0,1198180.0
06-29,1030555.9999999999,995967.0,1601478.0000000005,1308869.0000000002,1118273.0
06-30,491886.00000000035,185671.99999999988,1084148.0,1994199.0000000005,545951.0000000001
07-01,1030555.9999999999,266877.9999999999,1481618.0000000005,341189.99999999965,1986832.9999999995
07-02,343929.00000000047,995967.0,1063588.0,1519759.0000000002,2386753.999999999
